Date,Open,High,Low,Close,Volume
2016-06-06,8396.361986380352,8475.573009869104,8317.151685494648,8356.7568359375,1821564
2016-06-07,8356.7561807871,8475.572345403792,8356.7561807871,8396.361328125,1265449
2016-06-08,8435.966721570348,8554.782879475852,8435.966721570348,8515.177734375,2718885
2016-06-09,8515.17797930192,8792.416170791086,8475.572110458912,8633.994140625,7201176
2016-06-10,8673.600904361228,8832.022950872408,8633.99503143191,8713.2060546875,5247617
2016-06-13,8594.388091243525,8673.599098002678,8515.177084484372,8554.7822265625,2204620
2016-06-14,8475.5718666712,8554.782879475852,8435.966721570348,8515.177734375,1684170
2016-06-15,8435.967198065891,8475.572345403792,8356.7561807871,8396.361328125,2587638
2016-06-16,8396.361328125,8515.178215344684,8356.7561807871,8396.361328125,2073036
2016-06-17,8317.150949371622,8356.756096309156,8119.123046874999,8119.123046875,10021436
2016-06-20,8317.15079065974,8317.15079065974,8198.33390690849,8277.544921875,1921256
2016-06-21,8317.15079065974,8396.36108302328,8237.93977569323,8277.544921875,1980182
2016-06-22,8277.54656027092,8317.152436894952,8198.335529625969,8237.94140625,2283069
2016-06-23,8198.335529625969,8317.152436894952,8198.335529625969,8237.94140625,2380351
2016-06-24,8317.151031073061,8317.151031073061,7683.462893023768,8039.912109375,4951754
2016-06-27,7960.703687470598,8079.520613393078,7841.887484151346,8000.3095703125,1553558
2016-06-28,7960.7010921188385,8079.517979304576,7960.7010921188385,8039.912109375,1207943
2016-06-29,8079.517745760211,8277.544921875,8079.517745760211,8277.544921875,2882043
2016-06-30,8277.54656027092,8356.757590915871,8119.1244989810175,8237.94140625,3029227
2016-07-01,8237.939528211878,8277.544673203845,8158.728515625,8158.728515625,2222369
2016-07-04,8277.545788083278,8713.2060546875,8277.545788083278,8713.2060546875,8271707
2016-07-05,8911.23406017022,9069.656121057327,8832.023752329778,8871.62890625,12329765
2016-07-06,8792.417875806446,8950.839936693554,8752.812721886225,8871.62890625,4674818
2016-07-07,8950.838291116948,8990.44343775592,8832.02212859706,8911.232421875,5268616
2016-07-08,8911.2342801015,9109.262222399313,8871.629125203815,8990.4453125,8669783
2016-07-11,9109.2607421875,9386.498949230787,9030.049722660417,9109.2607421875,11700300
2016-07-12,9267.6826171875,9346.89363531241,9109.26058093768,9267.6826171875,6951554
2016-07-13,9386.498860874577,9624.131917218961,9346.89371278535,9544.9208984375,11378767
2016-07-14,9584.524883019149,9584.524883019149,9346.892578125,9346.892578125,7569790
2016-07-15,9307.2880859375,9386.499106794234,9188.47191595391,9307.2880859375,6452590
2016-07-18,9267.683818710035,9426.105152895625,9267.683818710035,9386.5,4375667
2016-07-19,9465.709879656039,9782.553954781883,9307.287842093117,9544.9208984375,12080199
2016-07-20,9584.527209684305,9624.133085183023,9346.894847104377,9386.5,4406849
2016-07-21,9386.498949230787,9386.498949230787,9109.2607421875,9109.2607421875,7448837
2016-07-22,8911.232421875,9030.049306997867,8792.416259355112,8911.232421875,7603158
2016-07-25,9030.050645248373,9069.655797756814,8832.0234375,8832.0234375,2347992
2016-07-26,8752.812721886225,8911.23406017022,8713.206845362893,8871.62890625,2649684
2016-07-27,8871.62890625,8871.62890625,8871.62890625,8871.62890625,0
2016-07-28,8990.443771336115,9346.893717327406,8990.443771336115,9188.4716796875,4689297
