Date,Open,High,Low,Close,Volume
2016-06-06,8988.263491754744,9394.512581535037,8988.263491754744,9343.7314453125,4444718
2016-06-07,9496.07372152107,9749.979372354108,9445.292591354462,9699.1982421875,2927519
2016-06-08,9749.980120946577,9749.980120946577,9546.855584684474,9597.63671875,2269359
2016-06-09,9496.07398186767,9546.855113426505,9292.94945563233,9394.51171875,2437279
2016-06-10,9445.293201852293,9546.85546875,9343.730934954589,9546.85546875,1001199
2016-06-13,9546.85546875,9546.85546875,9445.293201852293,9546.85546875,986879
2016-06-14,9546.855865478194,10156.2294921875,9445.293594359977,10156.2294921875,2508719
2016-06-15,10257.789664570499,10257.789664570499,10054.665163893167,10105.4462890625,1312959
2016-06-16,10156.22898356109,10460.915781656955,10105.447850545113,10359.353515625,944319
2016-06-17,10257.791763305719,10460.916305542154,9953.104949951065,10156.2294921875,1232559
2016-06-20,10562.479184729884,10867.166015625,10562.479184729884,10867.166015625,2304639
2016-06-21,11171.853867140659,11171.853867140659,10765.603957564646,10968.728515625,2114399
2016-06-22,10968.728515625,11070.290794655177,10765.603957564646,10968.728515625,796079
2016-06-23,10867.1651202671,11679.6640625,10867.1651202671,11679.6640625,3588639
2016-06-24,11679.662827788372,12492.160890673089,10867.163971448515,12390.5986328125,7023278
2016-06-27,12187.47411709132,12390.5986328125,11679.662827788372,12390.5986328125,1608079
2016-06-28,12085.9130859375,12289.037622275593,11984.350817768453,12085.9130859375,1085359
2016-06-29,11984.35028710896,12695.2861328125,11984.35028710896,12695.2861328125,2392879
2016-06-30,12695.286644912465,12898.411180449932,12492.162109375,12492.162109375,1095759
2016-07-01,12492.162109375,12695.286644912465,12390.599841606267,12492.162109375,2034719
2016-07-04,12695.286879016567,12695.286879016567,12390.60007009187,12593.724609375,1631999
2016-07-05,12695.286644912465,12695.286644912465,12492.162109375,12492.162109375,1365039
2016-07-06,12390.599841606267,12492.162109375,12187.475306068802,12492.162109375,1511999
2016-07-07,12695.286554001335,13304.66015625,12492.162019918449,13304.66015625,3616399
2016-07-08,13304.659921499455,13507.784451998366,13101.535391000545,13203.09765625,969439
2016-07-11,13101.534895463254,13812.470725319828,13101.534895463254,13406.2216796875,1782799
2016-07-12,13406.22237955713,13710.9091796875,13101.53557942676,13710.9091796875,1464479
2016-07-13,14015.596166992083,14320.282971191458,13812.471630859167,14218.720703125,1662559
2016-07-14,14218.720703125,14624.969775390831,14117.158435058542,14218.720703125,1871359
2016-07-15,14218.719992087868,14320.28225507549,13507.78415117451,13914.033203125,2227519
2016-07-18,14015.595936727128,14218.720469522872,13914.033670329256,14117.158203125,1794879
2016-07-19,14218.720703125,14218.720703125,13812.471630859167,14218.720703125,2045519
2016-07-20,14117.156738281594,14117.156738281594,13507.783203125,13507.783203125,2242079
2016-07-21,13507.783203125236,13710.907714844105,12898.409667968632,13101.5341796875,2128639
2016-07-22,12999.973312716636,13710.9091796875,12593.724245876141,13710.9091796875,3077359
2016-07-25,13710.907714843865,13710.907714843865,13203.096435546702,13507.783203125,537839
2016-07-26,13507.784451998366,13507.784451998366,13203.09765625,13203.09765625,449199
2016-07-27,13203.09765625,13203.09765625,13203.09765625,13203.09765625,0
2016-07-28,13203.096435546702,13710.907714843865,13101.53417968727,13507.783203125,966959
2016-07-29,13507.784414718346,13812.47120962581,13507.784414718346,13609.3466796875,822959
2016-08-01,13609.346717247821,13710.908982497278,13203.09765625,13203.09765625,1622559
2016-08-02,13101.535957582826,13101.535957582826,12593.724609375,12593.724609375,1285439
2016-08-03,12390.60007009187,12695.286879016567,12390.60007009187,12593.724609375,1406719
2016-08-04,13101.5341796875,13203.096435546933,12898.409667968632,13101.5341796875,1198799
2016-08-05,13101.534895463254,13507.783941095582,13101.534895463254,13406.2216796875,1253599
2016-08-08,13609.346202503664,13609.346202503664,13406.2216796875,13406.2216796875,655119
2016-08-09,13406.222423291443,13609.346957374331,13304.66015625,13304.66015625,792319
2016-08-10,13304.659418279418,13609.346202503664,13203.097156871336,13406.2216796875,1232559
2016-08-11,13406.222338339898,14117.158203125,13304.660071942026,14117.158203125,2928959
2016-08-12,14523.406781050735,14523.406781050735,13914.033203125,13914.033203125,1030399
2016-08-15,13914.03317542089,14523.406752133305,13812.470912635486,14320.2822265625,2350399
2016-08-16,14421.843505859217,15234.341552734639,14421.843505859217,14726.5302734375,3390719
2016-08-17,15132.784257368394,15742.157992276321,14929.659679065751,15640.595703125,2389919
2016-08-18,15539.029804558251,15539.029804558251,15234.343007877125,15335.9052734375,1385439
2016-08-19,15234.343239232017,15945.280695861627,14929.656437923793,15437.4677734375,2498159
2016-08-22,15437.467538997877,15742.154335679003,15234.343007877125,15335.9052734375,1781759
2016-08-23,15234.342510148444,15539.029296875,15031.217985664074,15539.029296875,1671919
2016-08-24,15539.03062292682,15945.281293474058,14828.0947265625,14828.0947265625,8126157
2016-08-25,14726.53251712438,14828.094788457509,14320.283431791873,14421.845703125,3847759
2016-08-26,14421.845930192803,14828.095021921587,14421.845930192803,14523.408203125,2555599
2016-08-29,14523.406781050735,14726.53130702598,13914.033203125,13914.033203125,3793919
2016-08-30,14015.59518432586,14624.96875,14015.59518432586,14624.96875,1923679
2016-08-31,14929.65553283707,14929.65553283707,14421.84422810862,14624.96875,2137679
2016-09-01,14726.53274898939,14726.53274898939,14421.845930192803,14523.408203125,1740799
2016-09-05,14624.968017578072,14726.5302734375,14421.843505859217,14726.5302734375,1203999
2016-09-06,14726.532455653312,14929.65699747169,14624.970184744123,14828.0947265625,1085679
2016-09-07,14726.53101094569,14828.093271891381,14218.719706217242,14624.96875,1191359
2016-09-08,14726.53101094569,14726.53101094569,14523.40648905431,14624.96875,1155839
2016-09-09,14624.969775390831,14624.969775390831,14015.596166992083,14218.720703125,3016079
2016-09-12,14218.720513238117,14218.720513238117,13629.659366319402,13710.9091796875,1974959
